model,elo_model_name,elo,num_runs,avg_utility,std_utility
llama-3.2-1b-instruct,llama-3.2-1b-instruct,1110,23,49.4388503826087,20.89848540516324
llama-3.2-3b-instruct,llama-3.2-3b-instruct,1166,25,54.5357157316,28.221887171765275
llama-3.1-8b-instruct,llama-3.1-8b-instruct,1211,28,58.9186,25.83698427266066
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,28,57.740754646607144,26.033892601714182
claude-3-haiku-20240307,claude-3-haiku-20240307,1260,28,63.4,25.37981481413921
command-r-plus-08-2024,command-r-plus-08-2024,1276,28,56.362718411107146,22.62209108748849
amazon-nova-pro-v1.0,amazon-nova-pro-v1.0,1290,27,59.514432962962964,19.489060094694686
qwen2.5-72b-instruct,qwen2.5-72b-instruct,1302,27,64.02962962962962,21.922385224625987
gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1317,26,58.55398717269231,25.228889118340266
llama-3.3-70b-instruct,llama-3.3-70b-instruct,1318,28,65.19791428571429,21.532063142434723
gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14,1322,24,57.056335833333335,21.028164925579357
qwq-32b,qwq-32b,1336,28,67.99253571428571,22.098368479664064
gpt-5-nano-high,gpt-5-nano-high,1337,28,68.34967940321428,21.85132044491601
gpt-4o-2024-05-13,gpt-4o-2024-05-13,1345,27,65.1850602962963,21.80968451676866
deepseek-v3,deepseek-v3,1358,28,60.24022967875,25.615508397409954
o3-mini-high,o3-mini-high,1363,26,66.23580062253846,22.59830418674327
gemma-3-27b-it,gemma-3-27b-it,1365,26,55.05058673076923,21.37774626478922
claude-sonnet-4-20250514,claude-sonnet-4-20250514,1389,28,64.68823357142857,21.398106667483493
deepseek-r1,deepseek-r1,1398,28,67.61267857142857,19.707384968319385
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,1407,28,65.31516428571429,22.090012891013735
deepseek-r1-0528,deepseek-r1-0528,1422,28,69.5675,19.074263255759053
qwen3-max-preview,qwen3-max-preview,1435,28,68.61926071428572,21.019048154120643
gemini-2.5-pro,gemini-2.5-pro,1448,28,70.27704917142857,18.762376290684085
claude-opus-4-5-20251101,claude-opus-4-5-20251101,1468,28,72.61457142857142,17.1023022936942
claude-opus-4-5-20251101-thinking-32k,claude-opus-4-5-20251101-thinking-32k,1474,28,72.20142857142858,16.786378983799786
gpt-5.2-chat-latest-20260210,gpt-5.2-chat-latest-20260210,1478,28,67.888,20.02390926046731
gpt-5.4-high,gpt-5.4-high,1484,28,69.17138928571428,18.58184058925617
gemini-3-pro,gemini-3-pro,1486,28,71.18357142857143,20.567324156515443
claude-opus-4-6,claude-opus-4-6,1499,28,70.42223603571429,18.84543678144367
claude-opus-4-6-thinking,claude-opus-4-6-thinking,1504,28,71.07896428571429,20.375817269292085
