game_label,experiment_family,n_agents,competition_key,run_count
game1,heterogeneous_random,2,comp=0.00,20
game1,heterogeneous_random,2,comp=0.25,15
game1,heterogeneous_random,2,comp=0.50,14
game1,heterogeneous_random,2,comp=0.75,18
game1,heterogeneous_random,2,comp=1.00,18
game1,heterogeneous_random,4,comp=0.00,17
game1,heterogeneous_random,4,comp=0.25,14
game1,heterogeneous_random,4,comp=0.50,14
game1,heterogeneous_random,4,comp=0.75,14
game1,heterogeneous_random,4,comp=1.00,16
game1,heterogeneous_random,6,comp=0.00,11
game1,heterogeneous_random,6,comp=0.25,12
game1,heterogeneous_random,6,comp=0.50,9
game1,homogeneous_adversary,2,comp=0.00,16
game1,homogeneous_adversary,2,comp=0.25,16
game1,homogeneous_adversary,2,comp=0.50,16
game1,homogeneous_adversary,2,comp=0.75,20
game1,homogeneous_adversary,2,comp=1.00,20
game1,homogeneous_adversary,4,comp=0.00,20
game1,homogeneous_adversary,4,comp=0.25,18
game1,homogeneous_adversary,4,comp=0.50,17
game1,homogeneous_adversary,4,comp=0.75,17
game1,homogeneous_adversary,4,comp=1.00,14
game1,homogeneous_adversary,6,comp=0.00,16
game1,homogeneous_adversary,6,comp=0.25,15
game1,homogeneous_adversary,6,comp=0.50,10
game1,homogeneous_control,2,comp=0.00,2
game1,homogeneous_control,2,comp=0.25,2
game1,homogeneous_control,2,comp=0.50,2
game1,homogeneous_control,2,comp=0.75,2
game1,homogeneous_control,2,comp=1.00,2
game1,homogeneous_control,4,comp=0.00,2
game1,homogeneous_control,4,comp=0.25,2
game1,homogeneous_control,4,comp=0.50,2
game1,homogeneous_control,4,comp=0.75,2
game1,homogeneous_control,4,comp=1.00,1
game1,homogeneous_control,6,comp=0.00,2
game1,homogeneous_control,6,comp=0.50,1
