model,elo_model_name,elo,num_runs,avg_rounds_to_consensus,std_rounds_to_consensus
llama-3.2-1b-instruct,llama-3.2-1b-instruct,1110,23,2.347826086956522,2.1590798292061106
llama-3.2-3b-instruct,llama-3.2-3b-instruct,1166,25,1.4,1.5748015748023623
llama-3.1-8b-instruct,llama-3.1-8b-instruct,1211,28,1.75,1.2137603905690306
amazon-nova-micro-v1.0,amazon-nova-micro-v1.0,1240,28,2.392857142857143,2.2414804692161723
claude-3-haiku-20240307,claude-3-haiku-20240307,1260,28,1.3928571428571428,0.5567306167185677
command-r-plus-08-2024,command-r-plus-08-2024,1276,28,2.642857142857143,2.467130862738649
amazon-nova-pro-v1.0,amazon-nova-pro-v1.0,1290,27,1.7037037037037037,1.4353942500056371
qwen2.5-72b-instruct,qwen2.5-72b-instruct,1302,27,1.3333333333333333,0.5443310539518174
gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1317,26,2.076923076923077,1.9199975345151823
llama-3.3-70b-instruct,llama-3.3-70b-instruct,1318,28,1.8214285714285714,1.0369450814969983
gpt-4.1-nano-2025-04-14,gpt-4.1-nano-2025-04-14,1322,24,1.875,1.2353305900311329
qwq-32b,qwq-32b,1336,28,1.3928571428571428,0.8999716548824395
gpt-5-nano-high,gpt-5-nano-high,1337,28,1.7857142857142858,1.7598121421078456
gpt-4o-2024-05-13,gpt-4o-2024-05-13,1345,27,1.9259259259259258,1.5135419808668555
deepseek-v3,deepseek-v3,1358,28,2.2857142857142856,2.084931359903775
o3-mini-high,o3-mini-high,1363,26,2.269230769230769,2.0106962496319585
gemma-3-27b-it,gemma-3-27b-it,1365,26,2.0,1.4411533842457842
claude-sonnet-4-20250514,claude-sonnet-4-20250514,1389,28,1.75,1.1220198623146433
deepseek-r1,deepseek-r1,1398,28,1.4642857142857142,0.7310531960878114
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,1407,28,1.7142857142857142,1.1605769149479943
deepseek-r1-0528,deepseek-r1-0528,1422,28,1.3214285714285714,0.7098073897982783
qwen3-max-preview,qwen3-max-preview,1435,28,1.5357142857142858,1.0850326807830937
gemini-2.5-pro,gemini-2.5-pro,1448,28,1.5357142857142858,1.3491304833945788
claude-opus-4-5-20251101,claude-opus-4-5-20251101,1468,28,1.3214285714285714,0.8041664463712644
claude-opus-4-5-20251101-thinking-32k,claude-opus-4-5-20251101-thinking-32k,1474,28,1.1428571428571428,0.5150787536377127
gpt-5.2-chat-latest-20260210,gpt-5.2-chat-latest-20260210,1478,28,1.6071428571428572,0.9761178834797463
gpt-5.4-high,gpt-5.4-high,1484,28,1.5,0.9063269671749657
gemini-3-pro,gemini-3-pro,1486,28,1.4642857142857142,0.7783748113465488
claude-opus-4-6,claude-opus-4-6,1499,28,1.5357142857142858,1.2387246568589019
claude-opus-4-6-thinking,claude-opus-4-6-thinking,1504,28,1.5714285714285714,0.9035079029052513
